"","sex","age","sit_height","VAT","ASAT","fat_percent","BMI","BMD_head","BMD_total","T_BMD_total","femur_BMD","tismri_volr01","tismri_volr02","tismri_volr03","tismri_TIV","tis_bone","vROI_bonecortex03","sROI_bonecortex03","main_sBMDH","sROI_bonethickness01","sROI_bonethickness02","sROI_bonethickness03","sROI_bonethickness04","sROI_bonethickness05","sROI_bonethickness06","sROI_bonethickness07","sROI_bonethickness08","sROI_bonethickness09","tis_head","sROI_headthickness01","sROI_headthickness02","sROI_headthickness03","sROI_headthickness04","sROI_headthickness05","sROI_headthickness06","sROI_headthickness07","sROI_headthickness08","sROI_headthickness09","waist","walk","moderate_PA","vigorous_PA","smoking","r_alcohol"
"tis_head",0.0509951232025423,0.129898090209036,-0.0044931528707198,0.574263851816167,0.621727231092209,0.499243571052163,0.526553242933764,-0.00433195534836231,0.0584772420184928,0.100584910648264,0.127433971944178,-0.156803427453487,-0.238887427864637,0.240659091124415,-0.0313428129796114,0.0711746604208941,0.246206339438233,0.0585863260839615,-0.0585863260839615,0.1375453220756,0.11845174423855,0.165495636097521,0.101580522258242,0.0787974125363125,0.0616508378168307,0.176447590889014,0.0739195958449116,0.0575413397993472,1,0.46466294850084,0.568989321260425,0.409424357766288,0.623771854684495,-0.0184749520352323,0.0427882669520125,-0.102139824498547,0.604329548208471,-0.0549071708308232,0.5185925887889,-0.108221048032693,-0.0746560275902858,-0.0440391854940059,0.165452611905742,0.000101151879574885
"sROI_headthickness01",-0.413038917085606,0.00826169254191983,0.290998238185604,0.559061049281896,0.217518764569891,-0.0239698618570695,0.472523647463661,0.138641554207821,0.428679576972429,0.309250769167054,0.203707238874065,-0.202592605552938,-0.0306149359104425,0.16998188004707,0.353848594833328,-0.103009768673712,0.0573672962187604,-0.227639824517179,0.227639824517179,0.0821748567754134,-0.00866811060426655,0.14042279616719,-0.00945635839253788,0.0955354195728825,-0.0479932494644799,0.11235349891419,-0.00755596141734102,0.158084572951737,0.46466294850084,1,0.669558941984108,0.846524377474133,0.686508930532841,0.418221030842271,0.56052319815459,0.3729170752921,0.708252956746205,0.352864248977511,0.557301936615671,-0.0985721914263836,-0.109191989561791,0.0224550014952164,0.087126238998573,-0.0122966061205791
"sROI_headthickness02",-0.181280010752373,-0.0937835330134503,0.227441489100321,0.498784728638898,0.361505122801223,0.168097017510809,0.45485299756096,0.159498221594998,0.276807580854914,0.250031897535152,0.197034691132231,-0.0324945130066725,-0.00845975714334586,0.0359776445696141,0.171128169096628,-0.15811274735977,0.052458195799049,-0.15166749553778,0.15166749553778,0.0409985526242834,0.0485481505585954,0.115657571394098,0.0317749987318986,-0.0784609948193569,-0.0351582081702618,0.0385987138624052,0.015020873589443,-0.0529078019073765,0.568989321260425,0.669558941984108,1,0.495593524525091,0.756327321583366,0.0199822906799,0.234624160075188,0.256644055671411,0.753161098356815,-0.00499793356769801,0.488239741064521,-0.100394753816196,-0.0854238626860038,-0.0516550657308462,0.0994313931930592,-0.0606216536203291
"sROI_headthickness03",-0.606235422643335,0.0294242230156732,0.423783019575937,0.649561566791837,0.148133908355533,-0.156237883793787,0.50192063822662,0.205479191958631,0.558906408733916,0.366183208070155,0.20633361190462,-0.304170653153374,-0.0672799442587179,0.265296889835589,0.492977739767072,-0.0616228446709677,0.122831653149512,-0.255202547341633,0.255202547341633,0.105015032671701,0.0156044540088549,0.262789323651995,0.0441909687704373,0.00731184510152439,-0.0187175755144628,0.16294908083568,0.0548174220798947,-0.00160824179158136,0.409424357766288,0.846524377474133,0.495593524525091,1,0.568767124543563,0.18348508449419,0.338837225068389,0.115817202681525,0.595240663526547,0.120541589242711,0.674016568381751,-0.0901520658154628,-0.116932673769076,0.0246958897628847,0.103951405900928,0.0218718041185422
"sROI_headthickness04",-0.256780139350279,-0.056316696535906,0.265227116780072,0.501432308039731,0.326899340436093,0.103852752414411,0.438950294499516,0.228567418081379,0.361748546964934,0.314590196521838,0.22819445520154,-0.177834821473839,-0.109836209270171,0.199552838731894,0.249110640057279,-0.198270410771933,0.0454364636162205,-0.254571078178693,0.254571078178693,0.0486441585029849,0.0456832861652805,0.158868357455955,0.0508489884932262,-0.0777364634640954,-0.019430286878503,0.128113557095701,0.0311797761084279,-0.127468981824515,0.623771854684495,0.686508930532841,0.756327321583366,0.568767124543563,1,-0.0262168815764009,0.148325271004691,0.0198052202311961,0.95964609477212,-0.09948668835127,0.520003696435441,-0.122507471643617,-0.1092762019597,-0.0404406398753647,0.100530471375965,-0.0222001865751782
"sROI_headthickness05",0.0121832518741145,0.0202837216386246,-0.0764374086887516,0.0014916495677237,-0.0156401983909279,0.00830361985511252,0.0187095112124452,-0.128715916052723,-0.00151256559424414,-0.00149138554060126,0.0289208758752648,0.0134690270365532,0.0721269077548853,-0.0542615963287211,-0.00145339950572189,0.0105103682264068,-0.0835350280531806,0.00967431331540106,-0.00967431331540106,0.0214650779764921,-0.0569935404649204,-0.118468287485838,-0.0788688677304592,0.452423946000276,-0.0920401074281985,-0.0766114257119799,-0.0875180614449038,0.29065664253544,-0.0184749520352323,0.418221030842271,0.0199822906799,0.18348508449419,-0.0262168815764009,1,0.328896830683879,0.253926248114708,-0.0101709229032294,0.468884145983933,-0.0258451214635575,-0.0132328111860953,-0.0214851913380425,0.0688582568464016,-0.0114542874941361,0.00457195717769083
"sROI_headthickness06",-0.264518935559206,0.0662178105073934,0.135238151713193,0.203893593622082,-0.0409858082153825,-0.126908224550385,0.153223645305834,0.0381882216775623,0.189084327891364,0.0974524109141971,0.0227881071299287,-0.11657052609708,-0.0317094929612934,0.0961972867751155,0.215286549161707,0.0410322098406963,0.016153217316249,-0.090792014943981,0.090792014943981,0.0131877654933543,-0.0561648605457197,0.0297695030022158,-0.0390514077459549,0.029633390478196,-0.0823876403082022,0.0367870234154383,-0.0212059429872422,0.078631256651645,0.0427882669520125,0.56052319815459,0.234624160075188,0.338837225068389,0.148325271004691,0.328896830683879,1,0.689038033709175,0.17337828274071,0.26984831513422,0.177106871696635,0.0239733797999684,-0.0279030579034016,0.0358471508409808,0.0349540081306838,-0.00364665007118767
"sROI_headthickness07",-0.0669992238429885,-0.00649028908690035,0.0139719020218166,-0.0176882582719708,-0.0570449207562684,-0.0622465024022361,-0.0177606225917926,-0.0257429997469767,0.0365196258343324,0.016539148787236,0.00957935772304809,0.0803508544646243,0.17955164616558,-0.157337949272303,0.071053314332274,-0.030911878695491,-0.0758147672734306,-0.037333996854167,0.037333996854167,-0.0148484443184403,-0.0602502409497598,-0.0456896411163642,-0.0663418789194686,0.0209400889503375,-0.0149122931649258,-0.102696415408968,-0.062283409515216,0.120765718083822,-0.102139824498547,0.3729170752921,0.256644055671411,0.115817202681525,0.0198052202311961,0.253926248114708,0.689038033709175,1,0.0256325850167446,0.272136189483867,-0.0347241852637735,0.0171105471866909,0.0215392818360826,0.0271532623253024,-0.0164370705795024,-0.0588178018394687
"sROI_headthickness08",-0.2970607300203,-0.0523287994575763,0.293134369927147,0.52077403045815,0.301591799877757,0.067877146709756,0.439742216410745,0.229658869127378,0.381260360135982,0.317771844164946,0.21887241540844,-0.203473241829587,-0.11816624931148,0.223689878368889,0.279882588637658,-0.192358635540953,0.0478557704499244,-0.270133044500169,0.270133044500169,0.0330644081313304,0.0211411552975531,0.153018420167244,0.0322795612815605,-0.0828526647949847,-0.037090499096273,0.120815995200427,0.0195606216731688,-0.126687496650121,0.604329548208471,0.708252956746205,0.753161098356815,0.595240663526547,0.95964609477212,-0.0101709229032294,0.17337828274071,0.0256325850167446,1,-0.0862062666027862,0.53790621048547,-0.114851114185404,-0.109895713009672,-0.0588847157717433,0.0962466928445435,-0.0146660313209961
"sROI_headthickness09",0.0976357540121764,0.0529376878015472,-0.130965292997991,-0.0612511470886815,-0.00305693713947444,0.0597561555206835,-0.0321431198725817,-0.184829081482928,-0.105622831108385,-0.088415123476105,-0.0314997738777712,0.0639379582181981,0.0922500465390304,-0.101323374502078,-0.040994093609005,0.0388577297510856,-0.0371028756629741,0.0670896869962899,-0.0670896869962899,0.0210520970730984,-0.0672294722716828,-0.143376477699584,-0.107140986212291,0.171082665993354,-0.123562669571246,-0.121174900351136,-0.0919125573574747,0.717491693523373,-0.0549071708308232,0.352864248977511,-0.00499793356769801,0.120541589242711,-0.09948668835127,0.468884145983933,0.26984831513422,0.272136189483867,-0.0862062666027862,1,-0.0862253541798185,-0.00499785687253163,0.00391282203162227,0.0531677989004833,-0.00667277547276489,-0.0361770881791212
